Movie,Review
The Dark Knight,"Excellent sequel much darker, more violent than the first."
The Dark Knight,"Allusions to our current struggles with surveillance, public perception and terrorism are thrown into the mix, adding political immediacy to Nolan's psycho noir."
The Dark Knight,"With his sliced visage, enough knives to supply a steak-house chain, and makeup that makes Courtney Love's bad days look pretty, this Joker is the picture of pure evil."
The Dark Knight,"To simply call The Dark Knight a high class superhero film undercuts its true value. Themes that concern mans internal struggle with good and evil, and the corruptible nature of the soul, enhances the film to spectacular and often tense heights."
The Dark Knight,Bring on part three.
The Dark Knight,"Christopher Nolan is much, much smarter than your average filmmaker."
The Dark Knight,"Completely lacking in vanity, Ledger creates his finest performance."
The Dark Knight,Flawed and overrated.
The Dark Knight,"In this one, Gotham is finally a real city."
The Dark Knight,It not only surpasses Batman Begins - previously considered the high-water mark of movies about the Caped Crusader - but one that magnificently transcends the superhero genre.
The Dark Knight,"The Dark Knight is a masterpiece of the first order, and the first great post-Sept. 11 film."
The Dark Knight,"Middling as a summer blockbuster, zero as art, and more than a bit alarming as a phenomenon"
The Dark Knight,najefektniji u trenucima kada se kr%u0161e nepisana pravila
The Dark Knight,"Heath Ledger is Diana Ross and these other kids are The Supremes. Believe the hype, Mr. Ledger as The Joker is categorically brilliant. The late-great actor turned another Batman movie into a riveting film that will be Oscar worthy only because of him."
The Dark Knight,"Despite its superhero trappings, The Dark Knight is more a piece of film noir."
The Dark Knight,"The Dark Knight is a good movie. It has all the ingredients to be a great movie, but it isn't one. I may grudgingly put it on my best-ten-of-the year list (a paltry group at this point), but it could have been so much more. It came so close."
The Dark Knight,Can one great character carry an entire movie? ....the answer is obviously yes. Ledger does it.
The Dark Knight,"The symbiosis of good and evil is the film's philosophical core, and images of duality and cloaked identity are strewn through it like shards from a fun house mirror."
The Dark Knight,There is enough psychology thrown around to keep film classes in business for years.
The Dark Knight,"For all the Oscar buzz surrounding Heath Ledger in the past few weeks, there still aren't enough hours in the day to gush about his knockout performance as The Joker."
The Dark Knight,Lacks a sense of humor and a notion about the essential silliness of this premise.
The Dark Knight,"An amazing piece of filmmaking that rockets the Batman legacy to heights never imagined, fueled by Heath Ledger's amazing re-invention of The Joker."
The Dark Knight,"In The Dark Knight, when mortals tangle in the affairs of the gods, they get burned."
The Dark Knight,The Dark Knight delivered on many fronts.
The Dark Knight,a riveting piece of work that will have us all mourning Ledger's loss but smacking our lips for a third entry
The Dark Knight,"[Ledger gives] a bravura performance full of madness and menace, one that makes this clown truly frightening."
The Dark Knight,"I say this with a smile from ear to ear, there is too much of a good thing. The Dark Knight is the best adult superhero film of all time."
The Dark Knight,"The Dark Knight is the best Batman film ever made, the best superhero movie ever made, and the best movie of the year to date."
The Dark Knight,This is without a doubt the best -- and most important -- picture of the year.
The Dark Knight,The Dark Knight has raised the bar for the comic book superhero genre - it's a Batman movie for grown-ups.
The Dark Knight,A big summer blockbuster dripping in characters.
The Dark Knight,This film is sure to surpass your wildest expectations. The summer film that is sure to be unforgettable and leave you craving for more.
The Dark Knight,"...even if Ledger hadn't died, critics and audiences alike would still be buzzing about the star's turn as The Joker."
The Dark Knight,"...we can have not just good comic book movies, but amazing comic book movies."
The Dark Knight,relatively high-quality pulp.
The Dark Knight,"The Dark Knight is neither a good nor a serious film. It is ill-conceived and poorly done, overlong, confusing and emotionally muddy."
The Dark Knight,"Powerful acting, powerful action, huge IMAX sequences give this Batman a great big commanding feel. However, story is held hostage to action, especially in the second half."
The Dark Knight,"Nolan gives in a bit to bloated-sequel syndrome ... but this is still one of the most riveting, trilling and wrenching movies of the year."
The Dark Knight,It could be the bleakest big-budget adventure since Blade Runner tanked on release near the dawn of the Reagan era.
The Dark Knight,"... director Christopher Nolan's much-hyped, long awaited second entry in the Batman franchise is not only fabulous and the best film of the summer, it's possibly the best film of the year, a guaranteed mammoth hit."
The Dark Knight,"""So here it is: The best superhero movie ever. The Dark Knight deftly accomplishes all one could hope for, and then it surpasses it, and then it continues to surprise. The movie isn't just a triumph, it is that rare pop-culture oddity: A masterpiece."""
The Dark Knight,...many excellent moments and action set-pieces...
The Dark Knight,"Be not fooled, this movie may circle D.A. Harvey Dent, and may toy with Wayne's weariness and loneliness, but this story belongs heart and soul to Ledger's Joker."
The Dark Knight,[Ledger's] manic zest gives the film its energy.
The Dark Knight,"You will exit the cinema with an enhanced respect for Nolan's intelligence, for Wally Pfister's pin-sharp cinematography, and, sadly, for an acting talent tragically curtailed."
The Dark Knight,"The plot is often impossible to follow. And the film, though dark, isn't as deep as some have claimed."
The Dark Knight,An obvious improvement over its immediate predecessor...
The Dark Knight,"The first five-star blockbuster of the year has arrived, and in style."
The Dark Knight,"Shouldn't Nolan, marvellous as his directing here is, be creating original films rather than rebooting and retooling franchise fare?"
The Dark Knight,"Watching the first dizzying, vertiginous overhead shot of the glittering skyscrapers and minuscule streets, I literally forgot to breathe for a second or two, and found myself teetering forward on my seat..."
